subject,index,condition,distance_to_null
NODEAP_06,1,S,3.4733047
NODEAP_06,2,S,4.074435
NODEAP_06,3,S,3.4228795
NODEAP_06,4,C,3.7914016
NODEAP_06,5,C,2.3745027
NODEAP_06,6,S,2.2513075
NODEAP_07,8,S,3.2624457
NODEAP_07,9,S,3.3332813
NODEAP_07,10,C,3.6868298
NODEAP_07,11,S,8.314932
NODEAP_07,12,S,3.745923
NODEAP_07,13,C,3.1160305
NODEAP_08,15,C,4.0246005
NODEAP_08,16,S,3.112647
NODEAP_08,17,S,2.8865087
NODEAP_08,18,S,4.793511
NODEAP_08,19,S,2.9907835
NODEAP_08,20,C,2.4506056
NODEAP_09,22,S,3.754958
NODEAP_09,23,S,3.451681
NODEAP_09,24,S,4.73275
NODEAP_09,25,C,1.8985126
NODEAP_09,26,C,3.0968103
NODEAP_09,27,S,3.8084853
NODEAP_10,29,S,3.5130448
NODEAP_10,30,S,4.183958
NODEAP_10,31,S,3.1206129
NODEAP_10,32,C,2.8834815
NODEAP_10,33,C,2.5428066
NODEAP_10,34,S,3.6433778
NODEAP_12,36,C,4.125955
NODEAP_12,37,S,4.306197
NODEAP_12,38,S,4.339385
NODEAP_12,39,C,3.096775
NODEAP_12,40,S,6.4326477
NODEAP_12,41,S,5.7732425
NODEAP_13,43,S,3.9345517
NODEAP_13,44,C,2.107824
NODEAP_13,45,S,1.7566446
NODEAP_13,46,S,2.2825284
NODEAP_13,47,C,4.7421203
NODEAP_13,48,S,3.425161
NODEAP_15,50,S,2.7207296
NODEAP_15,51,C,2.9110086
NODEAP_15,52,S,2.2982907
NODEAP_15,53,S,4.654446
NODEAP_15,54,C,4.6105943
NODEAP_15,55,S,5.214449
NODEAP_16,57,S,1.7287381
NODEAP_16,58,C,3.1285968
NODEAP_16,59,S,2.3801198
NODEAP_16,60,S,2.3553107
NODEAP_16,61,C,2.2427742
NODEAP_16,62,S,3.1644154
NODEAP_17,64,S,3.1490645
NODEAP_17,65,C,2.7353747
NODEAP_17,66,C,2.884703
NODEAP_17,67,S,3.8723865
NODEAP_17,68,S,3.6990829
NODEAP_17,69,S,2.928042
NODEAP_24,71,S,2.764732
NODEAP_24,72,S,2.5273786
NODEAP_24,73,S,3.2056148
NODEAP_24,74,C,3.27058
NODEAP_24,75,C,3.4200144
NODEAP_24,76,S,3.286268
NODEAP_26,78,S,1.6683131
NODEAP_26,79,C,4.6924353
NODEAP_26,80,C,2.5646796
NODEAP_26,81,S,1.8360939
NODEAP_26,82,S,2.3638675
NODEAP_26,83,S,2.9141495
NODEAP_30,85,S,2.8272018
NODEAP_30,86,C,1.9671104
NODEAP_30,87,C,3.4937198
NODEAP_30,88,S,3.3339097
NODEAP_30,89,S,2.3530385
NODEAP_34,91,C,2.942889
NODEAP_34,92,S,3.3148508
NODEAP_34,93,S,2.7520707
NODEAP_34,94,S,2.637022
NODEAP_34,95,S,3.5069509
NODEAP_34,96,C,2.6710465
NODEAP_35,98,C,2.8617995
NODEAP_35,99,S,2.4433277
NODEAP_35,100,S,3.4674878
NODEAP_35,101,C,2.3957462
NODEAP_35,102,S,2.5559323
NODEAP_35,103,S,2.5559323
NODEAP_36,105,C,4.7137094
NODEAP_36,106,S,5.217745
NODEAP_36,107,S,3.6412287
NODEAP_36,108,C,5.269921
NODEAP_36,109,S,2.8322415
NODEAP_36,110,S,4.6915803
NODEAP_39,112,S,2.1293037
NODEAP_39,113,S,3.717205
NODEAP_39,114,S,3.1256707
NODEAP_39,115,C,3.6986434
NODEAP_39,116,C,3.4783425
NODEAP_39,117,S,2.8735058
NODEAP_41,119,S,2.4688807
NODEAP_41,120,C,1.833088
NODEAP_41,121,C,1.7438364
NODEAP_41,122,S,3.9177608
NODEAP_41,123,S,2.9827418
NODEAP_41,124,S,4.089252
NODEAP_43,126,C,3.3403442
NODEAP_43,127,S,3.4838424
NODEAP_43,128,S,2.8307135
NODEAP_43,129,C,4.4335737
NODEAP_43,130,S,2.3617728
NODEAP_43,131,S,2.25072
NODEAP_44,133,S,4.8723154
NODEAP_44,134,S,3.174469
NODEAP_44,135,C,5.5135818
NODEAP_44,136,S,6.0177965
NODEAP_44,137,S,4.3233867
NODEAP_45,139,S,2.344446
NODEAP_45,140,S,1.5440891
NODEAP_45,141,C,2.5825045
NODEAP_45,142,S,3.485877
NODEAP_45,143,S,2.0694313
NODEAP_45,144,C,3.4014232
NODEAP_46,146,S,2.7976804
NODEAP_46,147,C,3.2465858
NODEAP_46,148,C,3.4679732
NODEAP_46,149,S,2.353706
NODEAP_46,150,S,3.4534664
NODEAP_46,151,S,3.3003623
NODEAP_48,153,C,2.3670924
NODEAP_48,154,S,3.1758904
NODEAP_48,155,S,2.769314
NODEAP_48,156,C,2.493959
NODEAP_48,157,S,2.8631845
NODEAP_48,158,S,4.046724
NODEAP_51,160,S,3.554612
NODEAP_51,161,S,3.4186356
NODEAP_51,162,S,5.5493336
NODEAP_51,163,C,4.2745914
NODEAP_51,164,C,3.611535
NODEAP_51,165,S,5.0694647
NODEAP_53,167,S,2.7486372
NODEAP_53,168,C,2.9149594
NODEAP_53,169,S,3.599424
NODEAP_53,170,S,3.9172904
NODEAP_53,171,C,6.0495787
NODEAP_53,172,S,3.6697729
NODEAP_55,174,S,2.5516293
NODEAP_55,175,S,6.322027e-08
NODEAP_55,176,C,2.0866714
NODEAP_55,177,S,2.3669956
NODEAP_55,178,S,3.0430357
NODEAP_55,179,C,2.566068
NODEAP_56,181,S,1.7029243
NODEAP_56,182,S,4.34422
NODEAP_56,183,S,4.1728873
NODEAP_56,184,C,2.8022072
NODEAP_56,185,C,3.2531536
NODEAP_56,186,S,2.980463
NODEAP_59,188,S,4.59565
NODEAP_59,189,C,2.2182276
NODEAP_59,190,C,4.2518816
NODEAP_59,191,S,2.1412601
NODEAP_59,192,S,2.151737
NODEAP_59,193,S,4.106646
NODEAP_60,195,C,3.7975044
NODEAP_60,196,S,2.872509
NODEAP_60,197,S,3.2660983
NODEAP_60,198,S,4.3429217
NODEAP_60,199,S,3.1064894
NODEAP_60,200,C,3.6274276
NODEAP_63,202,S,3.678649
NODEAP_63,203,S,6.1176934
NODEAP_63,204,C,3.8009725
NODEAP_63,205,S,3.2195997
NODEAP_63,206,S,5.005664
NODEAP_63,207,C,2.8968258
NODEAP_64,209,C,3.059852
NODEAP_64,210,S,3.1134918
NODEAP_64,211,S,3.6468768
NODEAP_64,212,S,3.3282027
NODEAP_64,213,S,3.8723047
NODEAP_64,214,C,2.6062255
NODEAP_65,216,C,2.655928
NODEAP_65,217,S,3.394913
NODEAP_65,218,S,2.3336656
NODEAP_65,219,C,2.9825997
NODEAP_65,220,S,2.4881344
NODEAP_65,221,S,3.2731385
NODEAP_66,223,S,3.2803502
NODEAP_66,224,C,3.4171424
NODEAP_66,225,C,4.7510824
NODEAP_66,226,S,3.1953158
NODEAP_66,227,S,2.970836
NODEAP_66,228,S,2.443737
NODEAP_68,230,C,1.690735
NODEAP_68,231,S,3.1830957
NODEAP_68,232,S,2.153048
NODEAP_68,233,S,2.6817136
NODEAP_68,234,S,3.858331
NODEAP_68,235,C,3.58637
NODEAP_70,237,S,3.0508122
NODEAP_70,238,S,3.052112
NODEAP_70,239,C,2.5787165
NODEAP_70,240,S,3.7668762
NODEAP_70,241,S,4.5203667
NODEAP_70,242,C,5.5620995
NODEAP_73,244,C,3.6161673
NODEAP_73,245,S,2.158344
NODEAP_73,246,S,3.5634375
NODEAP_73,247,C,1.3939477
NODEAP_73,248,S,3.3783135
NODEAP_73,249,S,3.1395278
NODEAP_74,251,S,2.7447176
NODEAP_74,252,S,2.773667
NODEAP_74,253,C,2.7821374
NODEAP_74,254,S,3.5819645
NODEAP_74,255,S,3.3219726
NODEAP_74,256,C,3.0707414
NODEAP_76,258,S,2.2405634
NODEAP_76,259,C,1.9170637
NODEAP_76,260,C,3.8865623
NODEAP_76,261,S,2.1165147
NODEAP_76,262,S,3.1584132
NODEAP_76,263,S,1.9032811
NODEAP_77,265,C,2.6864998
NODEAP_77,266,S,2.6468022
NODEAP_77,267,S,1.5198383
NODEAP_77,268,S,3.4739304
NODEAP_77,269,S,3.3686388
NODEAP_77,270,C,2.938882
NODEAP_78,272,S,0.0
NODEAP_78,273,C,1.5608803
NODEAP_78,274,S,3.545833
NODEAP_78,275,S,2.3304453
NODEAP_78,276,C,2.239142
NODEAP_78,277,S,2.1831563
NODEAP_79,279,S,2.7955883
NODEAP_79,280,C,1.5739712
NODEAP_79,281,S,2.965584
NODEAP_79,282,S,3.0674014
NODEAP_79,283,C,2.958651
NODEAP_79,284,S,2.3726463
NODEAP_80,286,S,2.093546
NODEAP_80,287,C,3.4320457
NODEAP_80,288,S,2.2362497
NODEAP_80,289,S,2.3519716
NODEAP_80,290,C,3.4701083
NODEAP_80,291,S,3.9669955
NODEAP_83,293,S,2.9232724
NODEAP_83,294,S,2.7844205
NODEAP_83,295,C,3.220647
NODEAP_83,296,S,3.3115308
NODEAP_83,297,C,3.5598276
NODEAP_84,299,S,1.9555144
NODEAP_84,300,S,1.9509554
NODEAP_84,301,C,3.3374841
NODEAP_84,302,S,2.9600816
NODEAP_84,303,S,2.010664
NODEAP_84,304,C,3.3380544
NODEAP_85,306,C,2.2475395
NODEAP_85,307,S,3.7494357
NODEAP_85,308,S,2.7763822
NODEAP_85,309,S,2.877501
NODEAP_85,310,S,2.7625453
NODEAP_85,311,C,1.7581763
NODEAP_86,313,C,6.627408
NODEAP_86,314,S,4.407547
NODEAP_86,315,S,3.6267488
NODEAP_86,316,C,3.4969103
NODEAP_86,317,S,4.7139816
NODEAP_86,318,S,4.1430616
